timestamp,timestamp_local,marg_es_tech,co2_srmer_enduse,PlantType,NOx_Rate_lbs_kWh,SO2_Rate_lbs_kWh
2030-01-01 00:00:00,2030-01-01 00:00:00,gas-cc,379.6,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-01 01:00:00,2030-01-01 01:00:00,gas-cc,367.9,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-01 02:00:00,2030-01-01 02:00:00,coal,1227.3,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-01 03:00:00,2030-01-01 03:00:00,coal,1147.0,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-01 04:00:00,2030-01-01 04:00:00,coal,1196.7,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-01 05:00:00,2030-01-01 05:00:00,coal,1112.2,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-01 06:00:00,2030-01-01 06:00:00,coal,1010.9,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-01 07:00:00,2030-01-01 07:00:00,coal,994.1,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-01 08:00:00,2030-01-01 08:00:00,coal,998.4,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-01 09:00:00,2030-01-01 09:00:00,gas-cc,386.7,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-01 10:00:00,2030-01-01 10:00:00,gas-cc,404.7,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-01 11:00:00,2030-01-01 11:00:00,gas-cc,381.3,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-01 12:00:00,2030-01-01 12:00:00,coal,1085.7,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-01 13:00:00,2030-01-01 13:00:00,gas-cc,382.1,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-01 14:00:00,2030-01-01 14:00:00,gas-cc,382.8,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-01 15:00:00,2030-01-01 15:00:00,coal,1279.6,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-01 16:00:00,2030-01-01 16:00:00,coal,1174.5,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-01 17:00:00,2030-01-01 17:00:00,coal,1162.0,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-01 18:00:00,2030-01-01 18:00:00,gas-cc,412.3,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-01 19:00:00,2030-01-01 19:00:00,coal,1266.2,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-01 20:00:00,2030-01-01 20:00:00,gas-cc,409.1,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-01 21:00:00,2030-01-01 21:00:00,coal,1251.5,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-01 22:00:00,2030-01-01 22:00:00,gas-cc,439.8,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-01 23:00:00,2030-01-01 23:00:00,coal,1298.2,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-02 00:00:00,2030-01-02 00:00:00,gas-cc,390.0,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-02 01:00:00,2030-01-02 01:00:00,gas-cc,380.2,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-02 02:00:00,2030-01-02 02:00:00,coal,1031.8,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-02 03:00:00,2030-01-02 03:00:00,gas-cc,380.3,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-02 04:00:00,2030-01-02 04:00:00,gas-cc,380.6,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-02 05:00:00,2030-01-02 05:00:00,coal,1110.3,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-02 06:00:00,2030-01-02 06:00:00,gas-cc,412.8,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-02 07:00:00,2030-01-02 07:00:00,gas-cc,381.2,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-02 08:00:00,2030-01-02 08:00:00,gas-cc,424.8,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-02 09:00:00,2030-01-02 09:00:00,gas-cc,435.7,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-02 10:00:00,2030-01-02 10:00:00,coal,1138.6,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-02 11:00:00,2030-01-02 11:00:00,coal,1140.2,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-02 12:00:00,2030-01-02 12:00:00,coal,1141.2,Coal Steam,0.0016283161025,0.010231936666666667
2030-01-02 13:00:00,2030-01-02 13:00:00,gas-cc,460.7,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-02 14:00:00,2030-01-02 14:00:00,gas-cc,396.0,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-02 15:00:00,2030-01-02 15:00:00,gas-cc,454.6,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-02 16:00:00,2030-01-02 16:00:00,gas-cc,475.5,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-02 17:00:00,2030-01-02 17:00:00,gas-cc,496.0,Combined Cycle,0.00024949850388888896,0.0058176
2030-01-02 18:00:00,2030-01-02 18:00:00,gas-ct,618.9,Combustion Turbine,0.018735112015618557,0.02781284708333333
2030-01-02 19:00:00,2030-01-02 19:00:00,gas-ct,618.4,Combustion Turbine,0.018735112015618557,0.02781284708333333
