timestamp,timestamp_local,marg_es_tech,co2_srmer_enduse,PlantType,NOx_Rate_lbs_kWh,SO2_Rate_lbs_kWh
2046-01-01 00:00:00,2046-01-01 00:00:00,coal,1110.7,Coal Steam,0.0016283161025,0.010231936666666667
2046-01-01 01:00:00,2046-01-01 01:00:00,gas-cc,386.5,Combined Cycle,0.00024949850388888896,0.0058176
2046-01-01 02:00:00,2046-01-01 02:00:00,gas-cc,376.0,Combined Cycle,0.00024949850388888896,0.0058176
2046-01-01 03:00:00,2046-01-01 03:00:00,gas-cc,385.7,Combined Cycle,0.00024949850388888896,0.0058176
2046-01-01 04:00:00,2046-01-01 04:00:00,gas-cc,384.9,Combined Cycle,0.00024949850388888896,0.0058176
2046-01-01 05:00:00,2046-01-01 05:00:00,gas-cc,380.1,Combined Cycle,0.00024949850388888896,0.0058176
2046-01-01 06:00:00,2046-01-01 06:00:00,gas-cc,401.3,Combined Cycle,0.00024949850388888896,0.0058176
2046-01-01 07:00:00,2046-01-01 07:00:00,gas-cc,401.2,Combined Cycle,0.00024949850388888896,0.0058176
2046-01-01 08:00:00,2046-01-01 08:00:00,coal,1096.0,Coal Steam,0.0016283161025,0.010231936666666667
2046-01-01 09:00:00,2046-01-01 09:00:00,gas-cc,381.2,Combined Cycle,0.00024949850388888896,0.0058176
2046-01-01 10:00:00,2046-01-01 10:00:00,gas-cc,382.1,Combined Cycle,0.00024949850388888896,0.0058176
2046-01-01 11:00:00,2046-01-01 11:00:00,gas-cc,381.3,Combined Cycle,0.00024949850388888896,0.0058176
2046-01-01 12:00:00,2046-01-01 12:00:00,gas-cc,381.8,Combined Cycle,0.00024949850388888896,0.0058176
2046-01-01 13:00:00,2046-01-01 13:00:00,gas-cc,382.1,Combined Cycle,0.00024949850388888896,0.0058176
2046-01-01 14:00:00,2046-01-01 14:00:00,gas-cc,382.0,Combined Cycle,0.00024949850388888896,0.0058176
2046-01-01 15:00:00,2046-01-01 15:00:00,gas-cc,382.1,Combined Cycle,0.00024949850388888896,0.0058176
2046-01-01 16:00:00,2046-01-01 16:00:00,gas-cc,382.5,Combined Cycle,0.00024949850388888896,0.0058176
2046-01-01 17:00:00,2046-01-01 17:00:00,gas-cc,464.1,Combined Cycle,0.00024949850388888896,0.0058176
