timestamp,timestamp_local,marg_es_tech,co2_srmer_enduse,PlantType,NOx_Rate_lbs_kWh,SO2_Rate_lbs_kWh
2036-01-01 00:00:00,2036-01-01 00:00:00,gas-cc,348.7,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-01 01:00:00,2036-01-01 01:00:00,coal,1124.6,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 02:00:00,2036-01-01 02:00:00,coal,1123.8,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 03:00:00,2036-01-01 03:00:00,coal,1122.3,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 04:00:00,2036-01-01 04:00:00,coal,1120.1,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 05:00:00,2036-01-01 05:00:00,coal,1168.7,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 06:00:00,2036-01-01 06:00:00,gas-cc,379.3,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-01 07:00:00,2036-01-01 07:00:00,coal,1122.0,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 08:00:00,2036-01-01 08:00:00,coal,1027.2,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 09:00:00,2036-01-01 09:00:00,coal,1122.9,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 10:00:00,2036-01-01 10:00:00,gas-cc,380.6,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-01 11:00:00,2036-01-01 11:00:00,coal,1127.9,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 12:00:00,2036-01-01 12:00:00,coal,1129.4,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 13:00:00,2036-01-01 13:00:00,coal,1130.2,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 14:00:00,2036-01-01 14:00:00,coal,1129.9,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 15:00:00,2036-01-01 15:00:00,coal,1130.3,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 16:00:00,2036-01-01 16:00:00,coal,1204.9,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 17:00:00,2036-01-01 17:00:00,coal,1330.7,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 18:00:00,2036-01-01 18:00:00,coal,1643.9,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 19:00:00,2036-01-01 19:00:00,coal,1646.2,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 20:00:00,2036-01-01 20:00:00,coal,1271.8,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-01 21:00:00,2036-01-01 21:00:00,gas-cc,447.5,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-01 22:00:00,2036-01-01 22:00:00,gas-cc,461.2,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-01 23:00:00,2036-01-01 23:00:00,gas-cc,389.1,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-02 00:00:00,2036-01-02 00:00:00,coal,1209.2,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-02 01:00:00,2036-01-02 01:00:00,gas-cc,380.2,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-02 02:00:00,2036-01-02 02:00:00,coal,1126.0,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-02 03:00:00,2036-01-02 03:00:00,coal,1125.1,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-02 04:00:00,2036-01-02 04:00:00,gas-cc,337.9,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-02 05:00:00,2036-01-02 05:00:00,coal,1110.3,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-02 06:00:00,2036-01-02 06:00:00,gas-cc,510.3,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-02 07:00:00,2036-01-02 07:00:00,coal,1217.3,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-02 08:00:00,2036-01-02 08:00:00,coal,1558.7,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-02 09:00:00,2036-01-02 09:00:00,coal,1325.0,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-02 10:00:00,2036-01-02 10:00:00,gas-cc,377.8,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-02 11:00:00,2036-01-02 11:00:00,gas-cc,449.4,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-02 12:00:00,2036-01-02 12:00:00,gas-cc,385.8,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-02 13:00:00,2036-01-02 13:00:00,gas-ct,448.9,Combustion Turbine,0.018735112015618557,0.02781284708333333
2036-01-02 14:00:00,2036-01-02 14:00:00,coal,1126.7,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-02 15:00:00,2036-01-02 15:00:00,coal,1045.1,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-02 16:00:00,2036-01-02 16:00:00,coal,1240.6,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-02 17:00:00,2036-01-02 17:00:00,coal,1123.7,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-02 18:00:00,2036-01-02 18:00:00,gas-ct,666.8,Combustion Turbine,0.018735112015618557,0.02781284708333333
2036-01-02 19:00:00,2036-01-02 19:00:00,gas-ct,666.3,Combustion Turbine,0.018735112015618557,0.02781284708333333
2036-01-02 20:00:00,2036-01-02 20:00:00,gas-cc,506.7,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-02 21:00:00,2036-01-02 21:00:00,coal,1383.4,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-02 22:00:00,2036-01-02 22:00:00,gas-cc,555.2,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-02 23:00:00,2036-01-02 23:00:00,gas-cc,436.3,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-03 00:00:00,2036-01-03 00:00:00,coal,1128.8,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-03 01:00:00,2036-01-03 01:00:00,gas-cc,429.7,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-03 02:00:00,2036-01-03 02:00:00,coal,1075.7,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-03 03:00:00,2036-01-03 03:00:00,coal,1120.9,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-03 04:00:00,2036-01-03 04:00:00,coal,1098.7,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-03 05:00:00,2036-01-03 05:00:00,coal,1159.9,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-03 06:00:00,2036-01-03 06:00:00,gas-ct,550.1,Combustion Turbine,0.018735112015618557,0.02781284708333333
2036-01-03 07:00:00,2036-01-03 07:00:00,gas-ct,665.2,Combustion Turbine,0.018735112015618557,0.02781284708333333
2036-01-03 08:00:00,2036-01-03 08:00:00,coal,1343.2,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-03 09:00:00,2036-01-03 09:00:00,o-g-s,633.6,O/G Steam,0.00120396433522,0.015373747000000002
2036-01-03 10:00:00,2036-01-03 10:00:00,gas-ct,453.5,Combustion Turbine,0.018735112015618557,0.02781284708333333
2036-01-03 11:00:00,2036-01-03 11:00:00,gas-cc,394.9,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-03 12:00:00,2036-01-03 12:00:00,o-g-s,593.8,O/G Steam,0.00120396433522,0.015373747000000002
2036-01-03 13:00:00,2036-01-03 13:00:00,gas-cc,378.9,Combined Cycle,0.00024949850388888896,0.0058176
2036-01-03 14:00:00,2036-01-03 14:00:00,coal,1307.6,Coal Steam,0.0016283161025,0.010231936666666667
2036-01-03 15:00:00,2036-01-03 15:00:00,gas-cc,434.0,Combined Cycle,0.00024949850388888896,0.0058176
